q,density,realpsi,imagpsi,phase
-7.458,3.937312491952639e-25,-3.652365540036149e-13,-5.102288788522543e-13,-372.90000000000003
-7.456,4.05652372683587e-25,-3.1716916233402137e-13,-5.523188346851139e-13,-372.8
-7.454,4.179310922733081e-25,-2.6435708657257764e-13,-5.899545940597181e-13,-372.7
-7.452,4.305780326333889e-25,-2.072049105064153e-13,-6.226107593797407e-13,-372.6
-7.45,4.43604131016873e-25,-1.4617453241438968e-13,-6.497977663014144e-13,-372.5
-7.448,4.570206463646548e-25,-8.17820962589552e-14,-6.710680554877768e-13,-372.40000000000003
-7.446,4.7083916867162665e-25,-1.4594265912026462e-14,-6.860219938705433e-13,-372.3
-7.444,4.8507162862268875e-25,5.477613863609178e-14,-6.943134762186375e-13,-372.2
-7.442,4.99730307506378e-25,1.2567511691952467e-13,-6.956551390550075e-13,-372.1
-7.44,5.148278474138853e-25,1.9741304216190484e-13,-6.898231209507748e-13,-372.0
-7.438,5.303772617317574e-25,2.6927075360262673e-13,-6.766613059618755e-13,-371.9
-7.436,5.463919459364688e-25,3.40506139801465e-13,-6.560849904501505e-13,-371.8
-7.434,5.628856886996702e-25,4.1036115920115e-13,-6.280839177361244e-13,-371.7
-7.432,5.798726833127443e-25,4.780692380539113e-13,-5.927246299415075e-13,-371.6
-7.43,5.973675394399008e-25,5.428629800842258e-13,-5.501520919654621e-13,-371.5
-7.428,6.153852952090511e-25,6.039821170342092e-13,-5.005905487640831e-13,-371.4
-7.426,6.3394142965021e-25,6.606816245977289e-13,-4.4434358391802583e-13,-371.3
-7.424,6.530518754911116e-25,7.122399242526091e-13,-3.8179335482921824e-13,-371.20000000000005
-7.422,6.727330323203668e-25,7.579670882139638e-13,-3.1339898772142205e-13,-371.09999999999997
-7.42,6.930017801284587e-25,7.972129622086501e-13,-2.3969412386407864e-13,-371.0
-7.418,7.138754932374719e-25,8.293751190616307e-13,-1.6128361701976385e-13,-370.90000000000003
-7.416,7.353720546304043e-25,8.539065552293968e-13,-7.883939095826009e-14,-370.8
-7.414,7.575098706915559e-25,8.703230424529617e-13,6.9045251086608135e-15,-370.7
-7.412,7.803078863695084e-25,8.782100476543217e-13,9.515775621830433e-14,-370.6
-7.41,8.03785600774937e-25,8.772291360869393e-13,1.8508010042978428e-13,-370.5
-7.408,8.27963083225234e-25,8.671237755794421e-13,2.757887616457334e-13,-370.40000000000003
-7.406,8.528609897489212e-25,8.477244634817925e-13,3.663662426635787e-13,-370.3
-7.404,8.785005800626603e-25,8.189531026233745e-13,4.558688361428198e-13,-370.2
-7.402,9.049037350344391e-25,7.808265582012901e-13,5.433356430807446e-13,-370.1
-7.4,9.320929746465548e-25,7.334593340040832e-13,6.277980407813021e-13,-370.0
-7.398,9.600914764725823e-25,6.770653136998716e-13,7.082895152810585e-13,-369.9
